"Original Source"	"Original Code"	"English Title"	"Chinese Title"	"Japanese Title"	"Korean Title"	"English Definition"	"Chinese Definition"	"Japanese Definition"	"Korean Definition"
"IST WPRO"	"2.3.159"	"abdominal fullness"	"腹滿"		"복만"	"a subjective feeling of fullness in the abdomen without pronounced visible or palpable expansion"			
"GB97"	"22.34"	"Abdominal mass"	"癥积"		"징적"	"It refers to presence of substantial mass in the abdominal cavity, usually caused by binding of pathogenic factors, such as blood stasis, parasitic infestation, dry feces and phlegm stagnation. It can be seen in diseases such as cancer, tumor, ovarian cyst, liver accumulation, intestinal obstruction, intestinal abscess, abdominal mass due to dyspepsia and ascariasis."	"触及腹腔内有形可征的包块，以往称为积聚、癥瘕。一般为有形之邪搏结，如血瘀、虫积、食积、燥屎、痰凝等而成。其常见疾病有腹内癌瘤、石瘕、肠覃、肝积、肥气、肠结、肠痈、食瘕、伏梁、蛔虫病等。"		
"IST WPRO and GB 97"	"2.3.67 AND 22.32"	"abdominal pain"	"腹痛"		"복통"	"pain in the region between the hypochondrium and pubic hairline"	"胃脘与季肋以下，耻骨毛际以上的腹部发生疼痛的症状"		
"IST WPRO"	"2.3.175"	"abdominal urgency"	"裏急"		"이급"	"(1) urge to defecate; (2) contraction of genital organ"			
"IST WPRO"	"2.3.44"	"absence of sweating"	"無汗"		"무한"	"abnormal deficiency or absence of sweating, the same as anhidrosis"			
"IST WPRO"	"2.3.84"	"aching pain"	"酸痛"		"산통"	"a continuous dull pain as the sensation produced by prolonged physical exertion"			
"IST WPRO"	"2.3.140"	"acid regurgitation"	"呑酸"		"탄산"	"swallowing of acid contents regurgitated from the stomach to the throat"			
"IST WPRO"	"2.3.16"	"afternoon tidal fever"	"午後潮熱"		"오후조열"	"fever more marked in the afternoon "			
"IST WPRO"	"2.1.10"	"agitation"	"煩躁"		"번조"	"vexation followed by irritability, irascibility, and restlessness"			
"IST WPRO"	"2.3.28"	"alternating chills and fever"	"寒熱往來; 往來寒熱; 寒熱交作"		"한열왕래; 왈래한열;한열교작"	"chills without fever and fever without chills occurring in alternating succession"			
"GB97"	"22.8"	"Amnesia"	"健忘"		"건망"	"It refers to poor memory and forgetfulness, usually caused by deficiency of heart and spleen, insufficiency of essence due to senility, or blockage of stagnant blood and phlegm. It can be seen in mental overstrain, brain atrophy, interior injury of head and poisoning."	"记忆力差、遇事易忘的症状。多因心脾亏虚，年老精气不足，或瘀痰阻痹等所致。常见于神劳、脑萎、头部内伤、中毒等脑系为主的疾病之中。"		
"IST WPRO"	"2.3.146"	"anguish in the heart"	"心中懊憹"		"심중오농"	"heat vexation and oppression in the region of the heart and chest "			
"GB97"	"22.17"	"Aphonia"	"失音"		"실음"	"It refers to hoarse voice or even loss of voice with normal mental state. It is usually caused by invasion of wind cold or wind heat and fire toxin into the throat, deficiency of kidney yin, weakness of qi due to lung deficiency, or emotional disturbance, and qi stagnation. It can be commonly seen in aphonia, membranous laryngitis, qi syncope, polyps of larynx, diphtheria and aphonia during pregnancy."	"神清而声音嘶哑，甚至不能发出声音的症状。多由风寒或风热火毒等邪犯喉，肾阴虚、肺虚气弱，或神情失调、气机郁滞等所致。常见于喉喑、喉癣、气厥、喉息肉、白喉、子喑等病中。"		
"GB97"	"22.44"	"Arthralgia"	"关节痛"		"관절통"	"It refers to subjective feeling of pain of the joints, usually caused by joint injuries due to exterior force, or invasion of wind cold and dampness heat into the joints, resulting in blockage of meridian qi and joints. It can be seen in dislocation of joints, bone injury, impediment or multiple abscesses of limbs."	"自觉关节疼痛的症状。多因外力损伤骨与关节，或风寒湿热等邪侵及关节，经气不利，关节阻痹所致。常见于关节脱位及骨损伤、肢体痹病类疾病，以及流痰等病中。"		
"GB97"	"22.33"	"Ascites"	"腹水"		"복수"	"It refers to retention of water in the abdominal cavity, usually caused by qi stagnation, blood stasis, spleen deficiency with dysfunction in transportation, and accumulation of dampness heat. It can be seen in diseases such as tympanites, abdominal mass and tuberculosis."	"水停腹腔所表现的征象。多由气滞、血瘀、脾虚失运、湿热蕴结等原因所致。常见于鼓胀、腹腔内癥积、痨等疾病中。"		
"IST WPRO"	"2.3.124"	"astringent taste in the mouth"	"口澁"		"구삽"	"a subjective feeling of astringency in the mouth"			
"IST WPRO"	"2.3.4"	"aversion to cold"	"惡寒"		"오한"	"sensation of cold which cannot be relieved by warmth, also known as chills"			
"IST WPRO"	"2.3.9"	"aversion to cold with fever"	"惡寒發熱; 發熱惡寒"		"오한발열;발열오한"	"simultaneous appearance of aversion to cold together with fever"			
"IST WPRO"	"2.3.7"	"aversion to heat"	"惡熱"		"오열"	"strong dislike of heat, also known as heat intolerance"			
"IST WPRO"	"2.3.6"	"aversion to wind"	"惡風"		"오풍"	"strong dislike of wind, also known as wind intolerance "			
"IST WPRO"	"2.3.69"	"back pain"	"背痛"		"배통"	"pain in the upper part of the back"			
"IST WPRO"	"2.3.139"	"belching"	"噯氣; 噫氣"		"애기;희기"	"the casting up of gas from the stomach, accompanied by a prolonged sound"			
"IST WPRO"	"2.1.25"	"benign complexion"	"善色"		"선색"	"bright and lustrous complexion indicating a favorable prognosis, also the same as healthy complexion"			
"JSOM"		"bijikan"		"微似汗"	"미사한"	"slight sweat"			
"IST WPRO"	"2.3.121"	"bitter taste in the mouth"	"口苦"		"구고"	"a subjective bitter sensation in the mouth"			
"IST WPRO"	"2.1.85"	"black fur"	"黑苔"		"흑태"	"tongue coating black in color, indicating either excessive cold or extreme heat in the interior"			
"IST WPRO"	"2.3.120"	"bland taste in the mouth"	"口淡"		"구담"	"diminished sensitivity of taste, with no pleasant flavor left by eating"			
"GB97"	"22.11"	"Blindness"	"目盲"		"목맹"	"It refers to severe hypopsia or even loss of vision. Its pathogenesis usually involves stagnation of qi and blood, upper attack of phlegm heat, exuberance of liver fire, deficiency liver and kidney yin and blood. It is usually caused by cataract or other diseases of eyes, or brain diseases."	"视力严重下降甚至失明的症状。气血瘀阻、痰热上壅、肝火亢盛、肝肾阴血亏虚等为常见病机。多因内障疾病以及眼的其他疾病所致，亦可因脑神病变等而引起。"		
"IST WPRO"	"2.3.131"	"blockage when swallowing"	"呑食梗塞 "		"탄식경색"	"difficulty or even inability to swallow"			
"IST WPRO"	"2.3.105"	"blood amassment"	"蓄血"		"축혈"	"static blood accumulating in the interior"			
"IST WPRO and GB 97"	"2.1.31 and 22.37"	"Hematochezia"	"便血"		"변혈;청혈"	"loss of blood through anus, with stool, or stool as black as asphalt, or simple bleeding from the anus.  Also known as Bloody Stool"	"血自肛门排出，包括血随便出，或便黑如柏油状，或单纯下血的症状。"		
"IST WPRO"	"2.1.53"	"blue tongue"	"靑舌"		"청설"	"a tongue of bluish color, indicating congealing cold and static blood"			
"IST WPRO"	"2.1.18"	"bluish complexion"	"面靑"		"면청"	"bluish discoloration of the face, often occurring in cold pattern/syndrome, pains, qi stagnation, blood stasis or convulsions "			
"IST WPRO"	"2.1.55"	"bluish purple tongue"	"靑紫舌"		"청자설"	"a cyanotic tongue, indicating blood stasis or heat toxin in the nutrient-blood"			
"IST WPRO"	"2.3.109"	"blurred vision"	"目昏; 視物模糊; 視瞻昏渺"		"목혼;시물모호;시첨혼묘"	"clouded and unclear vision"			
"IST WPRO"	"2.3.20"	"bone-steaming fever"	"骨蒸熱"		"골증열"	"fever which is felt to emanate from the bone or marrow"			
"IST WPRO"	"2.3.21"	"bone-steaming tidal fever"	"骨蒸潮熱"		"골증조열"	"tidal fever in which the heat is felt to emanate from the bones"			
"IST WPRO"	"2.3.64"	"breast pain"	"乳房疼痛"		"유방동통"	"pain in the breast, usually accompanied by feeling of distension"			
"IST WPRO"	"2.1.15"	"bright pale complexion"	"面色晄白"		"면색광백"	"a white complexion with puffiness, often seen in cases of yang deficiency"			
"IST WPRO and GB 97"	"2.3.63 AND 22.21"	"chest pain"	"胸痛"		"복통"	"Pain in the middle or lateral part of the chest. It may be caused by traumatic injury, interior scorching of fire and heat, interior obstruction of phlegm fluid, and blood stasis due to qi stagnation. It can be seen in diseases of lung, heart, chest and diaphragm, such as chest impediment with heart pain, lung abscess, lung heat disease, thoracic retention of fluid, pneumothorax, whooping cough, lung cancer and chest injury."	"自觉胸部疼痛的症状。广义胸痛的范围包括心痛及胁痛在内。可因外伤、火热内灼、痰饮内阻、气滞血瘀等所致。肺、心、胸膈的多种疾病如胸痹心痛、肺痈、肺热病、悬饮、气胸、百日咳、肺癌、胸部损伤等皆可见胸痛。"		
"IST WPRO"	"2.3.11"	"chills without fever"	"但寒不熱"			"feeling of cold with no fever"			
"IST WPRO"	"2.3.129"	"choke"	"噎"			"difficulty in swallowing"			
"IST WPRO"	"2.3.174"	"clear-food diarrhea"	"下利淸穀; 完穀下利"			"frequent discharge of fluid stools containing undigested food, the same as undigested food diarrhea"			
"IST WPRO"	"2.3.182"	"cold diarrhea"	"寒泄"			"diarrhea caused by attack of cold on the gastrointestinal tract"			
"IST WPRO"	"2.3.75"	"cold pain"	"冷痛"			"pain accompanied by a cold sensation and relieved by warmth"			
"IST WPRO"	"2.3.35"	"cold sweating"	"冷汗"			"profuse sweating accompanied by cold body and limbs"			
"GB97"	"22.36"	"Constipation"	"便秘[闭]"			"It refers to inability to defecate, or prolonged course of defecation, or diffiulty in defecation. It can be caused by the accumulation of heat in the stomach and intestines, or cold coagulation due to yang deficiency, or deficiency of qi, blood and yin fluid, or abdominal mass. Apart from intestinal diseases, constipation also can be seen in anal diseases, muscular flaccidity, hemiplegia due to wind stroke, pressure of lumps outside the intestines, febrile disease, or excessive taking of antidiarrheal or medicinals warm and dry in property, or abdominal operation and general weakness."	"大便秘结不通，排便时间延长，或时间虽不延长但排便困难的症状。胃肠积热，或阳虚寒凝，或气血阴津亏损，或腹内癥块阻结等，均可导致便秘。便秘除常见于肠道病变外，肛门部的病变、肌痿、风痱、肠外肿块压迫、温热病过程中、过服止泻药或温燥之品、腹部手术之后、全身衰惫状态等均可出现便秘。"		
